title,genre,country,date_added,rating,language
Breaking News,Comedy,Canada,7/4/2020,7.2,German
Midnight Dreams,Romance,India,7/5/2020,8.7,Hindi
The Last Voyage,Romance,Germany,7/6/2020,1.3,English
Skyline,Drama,Canada,7/7/2020,10,Spanish
Echoes,Documentary,Australia,7/8/2020,4,French
Deep Waters,Romance,Germany,7/9/2020,1.7,Hindi
Quantum Leap,Drama,Uk,7/10/2020,1.2,Mandarin
House of Shadows,Sci-Fi,Canada,7/11/2020,4.7,Spanish
Lunar Mission,Documentary,Canada,7/12/2020,6.4,German
Code of Silence,Drama,India,7/13/2020,3.9,Spanish
Retroverse,Comedy,Canada,7/14/2020,8.6,French
The Forgotten,Comedy,Usa,7/15/2020,4.9,English
Mystic Falls,Drama,India,7/16/2020,3.3,English
Digital Love,Romance,Canada,7/17/2020,7.6,English
Final Frame,Action,Canada,7/18/2020,5.6,Hindi
Burning Skies,Action,India,7/19/2020,8.6,Mandarin
The Drift,Documentary,Australia,7/20/2020,2.1,Mandarin
Neon City,Documentary,Australia,7/21/2020,7.6,Hindi
Outcast,Action,Uk,7/22/2020,8.7,Mandarin
The Arrival,Comedy,Canada,7/23/2020,7.2,Hindi
Winds of Change,Drama,Usa,7/24/2020,5.2,French
Behind the Mask,Sci-Fi,Usa,7/25/2020,8.8,French
Iron Veins,Action,India,7/26/2020,5.6,French
Echo Chamber,Romance,France,7/27/2020,2.5,German
Sunset Files,Romance,India,7/28/2020,1.9,Hindi
